Monday 09 December 2019 17:29,1420.7.1560,release/1420 (commit hash : 0xE4D4BBB3)
Binding,ImageBlocks-dialogs,ImageBlocks-schemas,Master-schemas,Gui-dialogs,TrueTouch,PrintServer,ImageBlocks-unittest
SaveLabelToFile,0,0,0,0,0,1,0
SchemaWrapper.BuildFromResource,1,1,0,1,0,0,1
SchemaWrapper.BuildFromString,1,1,0,1,0,0,1
SetPrinterStatus,0,0,0,0,0,1,0
Sim.AddPos,0,0,0,0,1,0,0
Sim.CupImage,0,0,0,0,1,0,0
Sim.DeltaPos,0,0,0,0,1,0,0
Sim.GetFrameCounter,0,0,0,0,1,0,0
Sim.GetInputs,0,0,0,0,1,0,0
Sim.GetPosition,0,0,0,0,1,0,0
Sim.I2CWrite,0,0,0,0,1,0,0
Sim.ImageToRgb8,0,0,0,0,1,0,0
Sim.Init,0,0,0,0,1,0,0
Sim.SetABPosition,0,0,0,0,1,0,0
Sim.SetCamDist,0,0,0,0,1,0,0
Sim.SetInputAddressRange,0,0,0,0,1,0,0
Sim.SetSensor,0,0,0,0,1,0,0
Sim.SetSpeed,0,0,0,0,1,0,0
SizeAlgorithms.DetectDoubles,1,1,1,0,0,0,1
SizeAlgorithms.FindCalyx,1,1,1,0,0,0,1
StartWeightCalDialogSequence,0,0,0,0,1,0,0
StartZeroWeightCalDialogSequence,0,0,0,0,1,0,0
Style.BackButton,0,0,0,0,1,0,0
Style.CancelButton,0,0,0,0,1,0,0
Style.CheckBox,0,0,0,0,1,0,0
Style.Label,0,0,0,0,1,0,0
Style.LabelMedium,0,0,0,0,1,0,0
Style.LabelRightAligned,0,0,0,0,1,0,0
Style.OkButton,0,0,0,0,1,0,0
Style.PopupTitle,0,0,0,0,1,0,0
Style.PostItTitle,0,0,0,0,1,0,0
Style.PrintButton,0,0,0,0,1,0,0
Style.TareButton,0,0,0,0,1,0,0
Style.TextCenter,0,0,0,0,1,0,0
Style.TextTopLeft,0,0,0,0,1,0,0
Style.TrueTouchLogoButton,0,0,0,0,1,0,0
Style.Value,0,0,0,0,1,0,0
Style.ValueLarge,0,0,0,0,1,0,0
Style.ValueRightAligned,0,0,0,0,1,0,0
Style.ValueSmall,0,0,0,0,1,0,0
Style.Weight,0,0,0,0,1,0,0
Style.WeightUnit,0,0,0,0,1,0,0
SystemConfiguration.GetLaneCount,1,1,0,1,0,0,1
SystemConfiguration.GetLicenses,1,1,0,1,0,0,1
SystemConfiguration.GetRotationFactor,1,1,0,1,0,0,1
SystemConfiguration.GetScanAreas,1,1,0,1,0,0,1
SystemConfiguration.GetSpectrometerUnits,1,1,0,1,0,0,1
SystemConfiguration.GetUnitsSystem,1,1,0,1,0,0,1
TestMenu,0,0,0,0,1,0,0
TextMessaging.Connect,1,0,0,1,1,1,0
TextMessaging.Listen,1,0,0,1,1,1,0
TextMessaging.Print,1,0,0,1,1,1,0
TextMessaging.StopListen,1,0,0,1,1,1,0
Tft.GetImage,0,0,0,0,1,0,0
Tft.Image,0,0,0,0,1,0,0
TheData.Add,0,0,0,0,1,0,0
TheData.EnableHttpAccess,0,0,0,0,1,0,0
TheData.Get,0,0,0,0,1,0,0
TheData.Set,0,0,0,0,1,0,0
TheData.Subscribe,0,0,0,0,1,0,0
TheData.Unsubscribe,0,0,0,0,1,0,0
TheData.UnsubscribeAll,0,0,0,0,1,0,0
TheGlobalsCheck.EnableHttpAccess,0,0,0,0,1,0,0
TheHttp.AddPage,0,0,0,0,1,1,0
TheIdTracing.EnableHttpAccess,0,0,0,0,0,1,0
TheIdTracing.EventString,0,0,0,0,0,1,0
TheIdTracing.StatusString,0,0,0,0,0,1,0
ThePrintClient.CurrentPackageUpdate,0,0,0,0,1,0,0
ThePrintClient.EnableHttpAccess,0,0,0,0,1,0,0
ThePrintClient.PackageFull,0,0,0,0,1,0,0
ThePrintClient.PrintByIdData,0,0,0,0,1,0,0
ThePrintClient.PrintByIdRequest,0,0,0,0,1,0,0
ThePrintClient.PrintLabel,0,0,0,0,1,0,0
ThePrintClient.SubscribePrintServerConnectionState,0,0,0,0,1,0,0
ThePrintClient.SubscribePrinterState,0,0,0,0,1,0,0
ThePrintClient.UnsubscribePrinterState,0,0,0,0,1,0,0
TheStateMachine.OnPrintPressed,0,0,0,0,0,1,0
TheWioApi.GetState,0,0,0,0,1,0,0
TheWioApi.GetWeightRange,0,0,0,0,1,0,0
TheWioApi.SetInput,0,0,0,0,1,0,0
TheWioApi.SetOutput,0,0,0,0,1,0,0
TheWioApi.SetWeight,0,0,0,0,1,0,0
TheWioApi.SubscribeInput,0,0,0,0,1,0,0
TheWioApi.SubscribeWeight,0,0,0,0,1,0,0
TheWioApi.UnsubscribeWeight,0,0,0,0,1,0,0
TrueCommon.GetBuildInfo,1,1,1,1,0,0,1
TrueSort.ASyncSaveCvrFile,1,1,0,1,0,0,1
TrueSort.CVRRequest.GetCVR,1,1,0,1,0,0,1
TrueSort.CVRRequest.GetFullCupsOnly,1,1,0,1,0,0,1
TrueSort.CVRRequest.GetLane,1,1,0,1,0,0,1
TrueSort.CVRRequest.GetPause,1,1,0,1,0,0,1
TrueSort.CVRRequest.GetStatus,1,1,0,1,0,0,1
TrueSort.CVRRequest.RegisterCVRCallback,1,1,0,1,0,0,1
TrueSort.CVRRequest.RegisterFullCupsOnlyCallback,1,1,0,1,0,0,1
TrueSort.CVRRequest.RegisterLaneCallback,1,1,0,1,0,0,1
TrueSort.CVRRequest.RegisterPauseCallback,1,1,0,1,0,0,1
TrueSort.CVRRequest.RegisterStatusCallback,1,1,0,1,0,0,1
TrueSort.CVRRequest.SetCvrType,1,1,0,1,0,0,1
TrueSort.CVRRequest.SetFullCupsOnly,1,1,0,1,0,0,1
TrueSort.CVRRequest.SetLane,1,1,0,1,0,0,1
TrueSort.CVRRequest.SetMeasureModule,1,1,0,1,0,0,1
TrueSort.CVRRequest.SetPause,1,1,0,1,0,0,1
TrueSort.CVRRequest.SetRequestInterval,1,1,0,1,0,0,1
TrueSort.FileContentToTable,1,1,0,0,0,0,1
TrueSort.GetActiveMethods,1,1,0,1,0,0,1
TrueSort.GetGradingResults,1,1,0,1,0,0,1
TrueSort.GetMeasureMethod,1,1,0,1,0,0,1
TrueSort.GetSortVariety,1,1,0,1,0,0,1
TrueSort.GetStrippedCVR,1,1,0,1,0,0,1
